alpha,seed,correlation,filename
0.5,11720,0.8287,simcse_sbert_seed_11720_alpha_0.5_batch_10.0_corr_0.8287.txt
0.6,11718,0.8259,simcse_sbert_seed_11718_alpha_0.6_batch_10.0_corr_0.8259.txt
0.8,11711,0.8242,simcse_sbert_seed_11711_alpha_0.8_batch_10.0_corr_0.8242.txt
0.8,11725,0.8262,simcse_sbert_seed_11725_alpha_0.8_batch_10.0_corr_0.8262.txt
0.3,11711,0.8235,simcse_sbert_seed_11711_alpha_0.3_batch_10.0_corr_0.8235.txt
0.9,11719,0.8267,simcse_sbert_seed_11719_alpha_0.9_batch_10.0_corr_0.8267.txt
0.8,11715,0.8246,simcse_sbert_seed_11715_alpha_0.8_batch_10.0_corr_0.8246.txt
0.1,11725,0.8259,simcse_sbert_seed_11725_alpha_0.1_batch_10.0_corr_0.8259.txt
1.0,11724,0.8144,simcse_sbert_seed_11724_alpha_1.0_batch_10.0_corr_0.8144.txt
0.6,11721,0.8261,simcse_sbert_seed_11721_alpha_0.6_batch_10.0_corr_0.8261.txt
0.9,11713,0.8254,simcse_sbert_seed_11713_alpha_0.9_batch_10.0_corr_0.8254.txt
0.5,11719,0.8266,simcse_sbert_seed_11719_alpha_0.5_batch_10.0_corr_0.8266.txt
0.1,11719,0.8265,simcse_sbert_seed_11719_alpha_0.1_batch_10.0_corr_0.8265.txt
0.7,11719,0.8267,simcse_sbert_seed_11719_alpha_0.7_batch_10.0_corr_0.8267.txt
0.7,11711,0.8239,simcse_sbert_seed_11711_alpha_0.7_batch_10.0_corr_0.8239.txt
0.7,11718,0.826,simcse_sbert_seed_11718_alpha_0.7_batch_10.0_corr_0.8260.txt
0.8,11724,0.824,simcse_sbert_seed_11724_alpha_0.8_batch_10.0_corr_0.8240.txt
0.9,11714,0.8257,simcse_sbert_seed_11714_alpha_0.9_batch_10.0_corr_0.8257.txt
0.0,11720,0.8285,simcse_sbert_seed_11720_alpha_0.0_batch_10.0_corr_0.8285.txt
0.2,11711,0.8234,simcse_sbert_seed_11711_alpha_0.2_batch_10.0_corr_0.8234.txt
0.2,11716,0.8246,simcse_sbert_seed_11716_alpha_0.2_batch_10.0_corr_0.8246.txt
0.1,11718,0.8256,simcse_sbert_seed_11718_alpha_0.1_batch_10.0_corr_0.8256.txt
0.1,11724,0.8236,simcse_sbert_seed_11724_alpha_0.1_batch_10.0_corr_0.8236.txt
0.5,11721,0.8261,simcse_sbert_seed_11721_alpha_0.5_batch_10.0_corr_0.8261.txt
0.7,11713,0.8252,simcse_sbert_seed_11713_alpha_0.7_batch_10.0_corr_0.8252.txt
0.2,11725,0.826,simcse_sbert_seed_11725_alpha_0.2_batch_10.0_corr_0.8260.txt
0.5,11716,0.8248,simcse_sbert_seed_11716_alpha_0.5_batch_10.0_corr_0.8248.txt
1.0,11725,0.8149,simcse_sbert_seed_11725_alpha_1.0_batch_10.0_corr_0.8149.txt
0.4,11724,0.8238,simcse_sbert_seed_11724_alpha_0.4_batch_10.0_corr_0.8238.txt
0.6,11711,0.8237,simcse_sbert_seed_11711_alpha_0.6_batch_10.0_corr_0.8237.txt
0.6,11715,0.8246,simcse_sbert_seed_11715_alpha_0.6_batch_10.0_corr_0.8246.txt
0.2,11721,0.8261,simcse_sbert_seed_11721_alpha_0.2_batch_10.0_corr_0.8261.txt
0.1,11723,0.8255,simcse_sbert_seed_11723_alpha_0.1_batch_10.0_corr_0.8255.txt
0.2,11720,0.8286,simcse_sbert_seed_11720_alpha_0.2_batch_10.0_corr_0.8286.txt
0.7,11725,0.8262,simcse_sbert_seed_11725_alpha_0.7_batch_10.0_corr_0.8262.txt
0.5,11712,0.8259,simcse_sbert_seed_11712_alpha_0.5_batch_10.0_corr_0.8259.txt
0.8,11712,0.8261,simcse_sbert_seed_11712_alpha_0.8_batch_10.0_corr_0.8261.txt
0.5,11713,0.825,simcse_sbert_seed_11713_alpha_0.5_batch_10.0_corr_0.8250.txt
1.0,11712,0.814,simcse_sbert_seed_11712_alpha_1.0_batch_10.0_corr_0.8140.txt
1.0,11716,0.818,simcse_sbert_seed_11716_alpha_1.0_batch_10.0_corr_0.8180.txt
0.6,11719,0.8266,simcse_sbert_seed_11719_alpha_0.6_batch_10.0_corr_0.8266.txt
0.0,11724,0.8235,simcse_sbert_seed_11724_alpha_0.0_batch_10.0_corr_0.8235.txt
0.0,11721,0.826,simcse_sbert_seed_11721_alpha_0.0_batch_10.0_corr_0.8260.txt
0.4,11711,0.8235,simcse_sbert_seed_11711_alpha_0.4_batch_10.0_corr_0.8235.txt
0.0,11715,0.8245,simcse_sbert_seed_11715_alpha_0.0_batch_10.0_corr_0.8245.txt
0.1,11715,0.8245,simcse_sbert_seed_11715_alpha_0.1_batch_10.0_corr_0.8245.txt
0.9,11723,0.8261,simcse_sbert_seed_11723_alpha_0.9_batch_10.0_corr_0.8261.txt
0.8,11718,0.8262,simcse_sbert_seed_11718_alpha_0.8_batch_10.0_corr_0.8262.txt
0.3,11713,0.8249,simcse_sbert_seed_11713_alpha_0.3_batch_10.0_corr_0.8249.txt
0.2,11719,0.8265,simcse_sbert_seed_11719_alpha_0.2_batch_10.0_corr_0.8265.txt
0.0,11719,0.8264,simcse_sbert_seed_11719_alpha_0.0_batch_10.0_corr_0.8264.txt
0.4,11725,0.8261,simcse_sbert_seed_11725_alpha_0.4_batch_10.0_corr_0.8261.txt
0.2,11724,0.8237,simcse_sbert_seed_11724_alpha_0.2_batch_10.0_corr_0.8237.txt
0.9,11712,0.826,simcse_sbert_seed_11712_alpha_0.9_batch_10.0_corr_0.8260.txt
0.9,11711,0.8247,simcse_sbert_seed_11711_alpha_0.9_batch_10.0_corr_0.8247.txt
1.0,11717,0.8144,simcse_sbert_seed_11717_alpha_1.0_batch_10.0_corr_0.8144.txt
0.1,11720,0.8285,simcse_sbert_seed_11720_alpha_0.1_batch_10.0_corr_0.8285.txt
0.9,11717,0.8244,simcse_sbert_seed_11717_alpha_0.9_batch_10.0_corr_0.8244.txt
0.4,11712,0.8259,simcse_sbert_seed_11712_alpha_0.4_batch_10.0_corr_0.8259.txt
0.5,11723,0.8257,simcse_sbert_seed_11723_alpha_0.5_batch_10.0_corr_0.8257.txt
0.0,11714,0.8256,simcse_sbert_seed_11714_alpha_0.0_batch_10.0_corr_0.8256.txt
0.1,11714,0.8258,simcse_sbert_seed_11714_alpha_0.1_batch_10.0_corr_0.8258.txt
0.3,11712,0.8258,simcse_sbert_seed_11712_alpha_0.3_batch_10.0_corr_0.8258.txt
0.7,11723,0.8259,simcse_sbert_seed_11723_alpha_0.7_batch_10.0_corr_0.8259.txt
0.5,11718,0.8258,simcse_sbert_seed_11718_alpha_0.5_batch_10.0_corr_0.8258.txt
0.1,11716,0.8246,simcse_sbert_seed_11716_alpha_0.1_batch_10.0_corr_0.8246.txt
0.1,11711,0.8233,simcse_sbert_seed_11711_alpha_0.1_batch_10.0_corr_0.8233.txt
0.3,11723,0.8256,simcse_sbert_seed_11723_alpha_0.3_batch_10.0_corr_0.8256.txt
0.4,11716,0.8247,simcse_sbert_seed_11716_alpha_0.4_batch_10.0_corr_0.8247.txt
0.3,11722,0.8247,simcse_sbert_seed_11722_alpha_0.3_batch_10.0_corr_0.8247.txt
0.9,11718,0.8265,simcse_sbert_seed_11718_alpha_0.9_batch_10.0_corr_0.8265.txt
0.9,11722,0.8252,simcse_sbert_seed_11722_alpha_0.9_batch_10.0_corr_0.8252.txt
0.9,11715,0.8244,simcse_sbert_seed_11715_alpha_0.9_batch_10.0_corr_0.8244.txt
0.7,11724,0.824,simcse_sbert_seed_11724_alpha_0.7_batch_10.0_corr_0.8240.txt
0.3,11725,0.826,simcse_sbert_seed_11725_alpha_0.3_batch_10.0_corr_0.8260.txt
0.7,11716,0.825,simcse_sbert_seed_11716_alpha_0.7_batch_10.0_corr_0.8250.txt
1.0,11715,0.8122,simcse_sbert_seed_11715_alpha_1.0_batch_10.0_corr_0.8122.txt
0.4,11715,0.8246,simcse_sbert_seed_11715_alpha_0.4_batch_10.0_corr_0.8246.txt
0.9,11721,0.8256,simcse_sbert_seed_11721_alpha_0.9_batch_10.0_corr_0.8256.txt
0.8,11721,0.8259,simcse_sbert_seed_11721_alpha_0.8_batch_10.0_corr_0.8259.txt
0.2,11712,0.8258,simcse_sbert_seed_11712_alpha_0.2_batch_10.0_corr_0.8258.txt
0.9,11724,0.8242,simcse_sbert_seed_11724_alpha_0.9_batch_10.0_corr_0.8242.txt
0.0,11718,0.8256,simcse_sbert_seed_11718_alpha_0.0_batch_10.0_corr_0.8256.txt
0.6,11725,0.8261,simcse_sbert_seed_11725_alpha_0.6_batch_10.0_corr_0.8261.txt
0.3,11724,0.8238,simcse_sbert_seed_11724_alpha_0.3_batch_10.0_corr_0.8238.txt
0.8,11723,0.826,simcse_sbert_seed_11723_alpha_0.8_batch_10.0_corr_0.8260.txt
1.0,11721,0.8134,simcse_sbert_seed_11721_alpha_1.0_batch_10.0_corr_0.8134.txt
0.2,11723,0.8256,simcse_sbert_seed_11723_alpha_0.2_batch_10.0_corr_0.8256.txt
0.2,11717,0.8235,simcse_sbert_seed_11717_alpha_0.2_batch_10.0_corr_0.8235.txt
0.7,11714,0.8259,simcse_sbert_seed_11714_alpha_0.7_batch_10.0_corr_0.8259.txt
0.5,11725,0.8261,simcse_sbert_seed_11725_alpha_0.5_batch_10.0_corr_0.8261.txt
0.3,11720,0.8286,simcse_sbert_seed_11720_alpha_0.3_batch_10.0_corr_0.8286.txt
0.8,11719,0.8267,simcse_sbert_seed_11719_alpha_0.8_batch_10.0_corr_0.8267.txt
0.8,11722,0.825,simcse_sbert_seed_11722_alpha_0.8_batch_10.0_corr_0.8250.txt
0.5,11717,0.8236,simcse_sbert_seed_11717_alpha_0.5_batch_10.0_corr_0.8236.txt
1.0,11723,0.8147,simcse_sbert_seed_11723_alpha_1.0_batch_10.0_corr_0.8147.txt
0.3,11719,0.8266,simcse_sbert_seed_11719_alpha_0.3_batch_10.0_corr_0.8266.txt
0.7,11722,0.825,simcse_sbert_seed_11722_alpha_0.7_batch_10.0_corr_0.8250.txt
1.0,11714,0.8119,simcse_sbert_seed_11714_alpha_1.0_batch_10.0_corr_0.8119.txt
0.8,11714,0.8259,simcse_sbert_seed_11714_alpha_0.8_batch_10.0_corr_0.8259.txt
0.8,11716,0.8252,simcse_sbert_seed_11716_alpha_0.8_batch_10.0_corr_0.8252.txt
0.4,11721,0.8261,simcse_sbert_seed_11721_alpha_0.4_batch_10.0_corr_0.8261.txt
0.6,11720,0.8288,simcse_sbert_seed_11720_alpha_0.6_batch_10.0_corr_0.8288.txt
0.2,11713,0.8248,simcse_sbert_seed_11713_alpha_0.2_batch_10.0_corr_0.8248.txt
0.4,11722,0.8248,simcse_sbert_seed_11722_alpha_0.4_batch_10.0_corr_0.8248.txt
0.6,11724,0.8239,simcse_sbert_seed_11724_alpha_0.6_batch_10.0_corr_0.8239.txt
0.4,11718,0.8258,simcse_sbert_seed_11718_alpha_0.4_batch_10.0_corr_0.8258.txt
0.0,11717,0.8233,simcse_sbert_seed_11717_alpha_0.0_batch_10.0_corr_0.8233.txt
