job_id, changes, dev_acc, time, error
10777830, neue form, 0.836, 63min
10777831, neue variante mit BS default und 1 Epoche, 0.819, 23min
10777950, 8 Epochen, 0, 1min, not enough memory
10778047, 8 Epochen,0,0,
10778060, normal nur lr=2e-4,0,0,error
10778219, first submit,0,13,could not broadcast 
10778314, orginalcode mit anderem model,0,1min,error
10778322, orginalcode mit anderem model,0,16min,error
10778445, orginal code mit neuem model,0,1min,error
10778696, org code mit neuem model -> fix mit print,0,0,error
10778709, org code mit neuem mode,0,0,0
10778854, org code neues model dummer fehler,0,0,0
10779427, org code neues model dummer fehler2,0.628,7min,0
10779514, oc nm keine batch begrenzung,0.870,15,0
10779515, oc nm altes model,0.862,15,0
10779617, neuer test oc nm ohne maxbatch,0.870,15min,0
10779618, neuer test oc nm 10 maxbatch,0.628,7min,0
10779630, no maxbatch, sequential added,15min,0
10779632, maxbtach 300,0.819,8min,0
10779721, no maxbatch und neues model,0,0,mat1 and mat2 shapes cannot be multiplied (64x2304 and 768x1)
10779832, no maxbatch und fix,0,0,0
10779924, BS 32,0,0,err
10779927, BS 32, maxbatch 400,0,err
10779932, BS 32 maxbatch 10, 0,0,err
10780029, BS 32 maxbatch 10 fix,0,0,0
10780034, BS 32 maxbatch 400, 0,0,0
10780036, BS 32,0,0,0

10780048, BS 32 maxbatch 10 früher abbruch, 0,0,0
10780052, BS 32 maxbatch 400, 0,0,0

10780055, BS 32 maxbatch 400, 0.796,23,0
10780134, BS 32 maxbatch 10, 0.796,23,0
10780136, BS 32 maxbatch no, 0.796,24,0

10780274, maxbatch 1000,0,0,0
10780279, maxbatch no epochs 4,0,0,0
10783723, maxbatch no epochs 4 mehr zeit eig,0.835,0,0
10783727, 1 epoche bs 64,0.797,24min,0
10783732, 1 epoche BS 128,0.788,25min,0
10784088, BS 32 LR 5e-5,0,0,0
10784094, BS 32 LR 1e-4,0,0,0
